"","ARI","NMI","FM-Index","FMeasure","Metric","Dataset"
"57",0.389090536733441,0.478101182946909,0.551371904389244,0.600282026025787,"euclidean","Moldoveanu et al"
"58",0.320058089115817,0.42302875565394,0.492642699805449,0.537615852061187,"euclidean","Moldoveanu et al"
"59",0.330174131767738,0.437965943818015,0.499618448613273,0.554543678556586,"euclidean","Moldoveanu et al"
"60",0.458332629925237,0.509051675137241,0.609273801434439,0.69049615830252,"euclidean","Moldoveanu et al"
"61",0.192714070908887,0.295646531074416,0.447483153562514,0.450051143729094,"pearson","Keren et al"
"62",0.227172684451938,0.305502155504725,0.488413834356379,0.50510311608461,"pearson","Keren et al"
"63",0.215959379927012,0.275112259947015,0.472922120532264,0.460678550562359,"pearson","Keren et al"
"64",0.211976814100166,0.280760586049082,0.470828885722576,0.457969851038401,"pearson","Keren et al"
"65",0.229598366478476,0.318626929298944,0.485797060802915,0.501204117198574,"pearson","Keren et al"
"66",0.086180122475594,0.249566138967472,0.428840428045038,0.448014626080182,"euclidean","Keren et al"
"67",0.101527676678566,0.264824899451026,0.453641348517174,0.506019072379218,"euclidean","Keren et al"
"68",0.0851229255552424,0.251291751715235,0.429740143880369,0.459427921476348,"euclidean","Keren et al"
"69",0.0773876005708198,0.25351249293087,0.422527261983924,0.450097988055832,"euclidean","Keren et al"
"70",0.116359670562607,0.271207556530746,0.448352300000976,0.480076382092875,"euclidean","Keren et al"
"71",0.473531826251452,0.538067124022866,0.571540417257728,0.645788586875333,"pearson","Liu et al"
"72",0.568025258021119,0.588242705637107,0.651210182818168,0.713886970921845,"pearson","Liu et al"
"73",0.528761548472532,0.566838909138562,0.62013796716359,0.66882840588214,"pearson","Liu et al"
"74",0.477488743474038,0.536889466856415,0.574247165937429,0.636394601515803,"pearson","Liu et al"
"75",0.494896932479707,0.555238340279681,0.590154438772201,0.658199766783863,"pearson","Liu et al"
"76",0.082066735585541,0.256155121956442,0.313055724533395,0.381533768059632,"euclidean","Liu et al"
"77",0.0686909301685761,0.250136721477929,0.30611425640009,0.374000374722124,"euclidean","Liu et al"
"78",0.083221885492963,0.253263056402979,0.316339126585297,0.416726551962512,"euclidean","Liu et al"
"79",0.0959212711387655,0.257150635189038,0.324296650813024,0.398625940988243,"euclidean","Liu et al"
"80",0.104983615930705,0.268913669131717,0.325611977978473,0.399595658733829,"euclidean","Liu et al"
"81",0.25863785776402,0.384694686267024,0.328079679419724,0.443026997978614,"pearson","Mccaferry et al"
"82",0.286451734954258,0.391873207918742,0.354154262525427,0.448636359021295,"pearson","Mccaferry et al"
"83",0.278468760038311,0.399312164943404,0.346816809343374,0.439282624400628,"pearson","Mccaferry et al"
"84",0.309397485587131,0.430991718417172,0.375042760785637,0.481912427271945,"pearson","Mccaferry et al"
"85",0.31396344592585,0.409831222612901,0.37959202576658,0.468269245286329,"pearson","Mccaferry et al"
"86",0.209222986345522,0.363081218176448,0.282382580362681,0.417261924515599,"euclidean","Mccaferry et al"
"87",0.240057029816053,0.366128869206814,0.310747402545013,0.409323702551411,"euclidean","Mccaferry et al"
"88",0.196727338589827,0.345729690520784,0.272526433156294,0.366082556108224,"euclidean","Mccaferry et al"
"89",0.218684840853032,0.367697059535411,0.290898594072832,0.405307191494732,"euclidean","Mccaferry et al"
"90",0.230712844519266,0.371337104052948,0.301470692653839,0.414134455959493,"euclidean","Mccaferry et al"
"91",0.314709812969913,0.473802012262473,0.386536303370127,0.440242004911353,"pearson","Schurch et al"
"92",0.311136503478423,0.471835338797573,0.382217020558278,0.437504134768096,"pearson","Schurch et al"
"93",0.303710764580731,0.465582538150359,0.374136774644632,0.445016034684992,"pearson","Schurch et al"
"94",0.298267678491872,0.466124515570365,0.37014328621716,0.437766170906814,"pearson","Schurch et al"
"95",0.294905217467472,0.455043270954202,0.36645703621183,0.414736543433644,"pearson","Schurch et al"
"96",0.116166175702733,0.375160603327049,0.216991540828954,0.340024323969287,"euclidean","Schurch et al"
"97",0.11524465365663,0.376690750715135,0.212104682541796,0.332729978913211,"euclidean","Schurch et al"
"98",0.111950904373632,0.372698958583353,0.219141397983267,0.347578686806099,"euclidean","Schurch et al"
"99",0.116804877256136,0.375044816648116,0.214825352933419,0.333486377034895,"euclidean","Schurch et al"
"100",0.124366759528312,0.379274169226907,0.217208872136844,0.335500221262965,"euclidean","Schurch et al"
"101",0.186623863130955,0.38090515467877,0.293688773570208,0.363476589306247,"pearson","Phillips et al"
"102",0.179627939262459,0.376671242825667,0.286015444280111,0.348078994482931,"pearson","Phillips et al"
"103",0.202922357913506,0.389931383496603,0.309894023113649,0.362740733502342,"pearson","Phillips et al"
"104",0.192284749274737,0.381735611728037,0.298739934107477,0.359333001368263,"pearson","Phillips et al"
"105",0.185050414199903,0.383004065824731,0.292167043802976,0.342736148391617,"pearson","Phillips et al"
