"ARI","NMI","FM-Index","FMeasure","Metric","Dataset"
0.00692346300889928,0.180894372392099,0.305145812916382,0.351077150912024,"euclidean","Phillips et al"
-0.00790540645862633,0.151503510705128,0.299180039245464,0.335860741831633,"euclidean","Phillips et al"
-0.0176630125119271,0.154225598519585,0.279882688897845,0.311169704856009,"euclidean","Phillips et al"
0.0274913705326152,0.172115905289406,0.307521207361279,0.358804599285257,"euclidean","Phillips et al"
0.0217256052002967,0.186726315671134,0.312136033703252,0.377478645137331,"euclidean","Phillips et al"
0.406039363666699,0.577842111502517,0.453194584671803,0.578000512525725,"pearson","Lohoff et al"
0.387855386059359,0.582801629642034,0.436306875205694,0.566224277604295,"pearson","Lohoff et al"
0.405117965353631,0.586787846808952,0.451756828414328,0.581504121598293,"pearson","Lohoff et al"
0.431682082830344,0.597456253015705,0.476350939228547,0.614907097946282,"pearson","Lohoff et al"
0.385724662176562,0.574893767395067,0.433058636784077,0.571421758956905,"pearson","Lohoff et al"
0.321853588313075,0.581369333314913,0.372610336350797,0.55508980358493,"euclidean","Lohoff et al"
0.377538750618906,0.596813638311591,0.424124904779877,0.574925174796788,"euclidean","Lohoff et al"
0.344655061345253,0.592039193202951,0.394051197139744,0.559138472256545,"euclidean","Lohoff et al"
0.383696249163786,0.596335587784204,0.429610448956999,0.576339931161429,"euclidean","Lohoff et al"
0.378334054461446,0.615361045708538,0.424065547265387,0.576511365304591,"euclidean","Lohoff et al"
0.527987949333569,0.362481990399039,0.650644279522248,0.645257542103492,"pearson","Bortolomeazzi et al"
0.548711365696428,0.356849246731039,0.668596804463459,0.643129124338801,"pearson","Bortolomeazzi et al"
0.355889173040293,0.343520373492717,0.500029601372664,0.54424843796842,"pearson","Bortolomeazzi et al"
0.568821610847628,0.383017305115744,0.680235013237062,0.654593087631849,"pearson","Bortolomeazzi et al"
0.545094969782502,0.348616357246837,0.665748717922235,0.640992734559528,"pearson","Bortolomeazzi et al"
0.140499866719918,0.117823711950102,0.5236092560152,0.602937469618025,"euclidean","Bortolomeazzi et al"
0.17709673857164,0.142678944022453,0.522133459965977,0.601298110810821,"euclidean","Bortolomeazzi et al"
0.145319848729707,0.128768331065276,0.52350861927725,0.608814918642976,"euclidean","Bortolomeazzi et al"
0.15859890917856,0.154051358092011,0.505502219663604,0.589672959708049,"euclidean","Bortolomeazzi et al"
0.269121879895629,0.204883899274824,0.567047449313546,0.654988460548637,"euclidean","Bortolomeazzi et al"
0.40004835864984,0.531726786364331,0.456773530197896,0.563751146268176,"pearson","Brbic et al intestine"
0.391236414064576,0.538916536766176,0.448568959704893,0.56838291665834,"pearson","Brbic et al intestine"
0.460305031135497,0.572975833794842,0.513224902973509,0.622415722678977,"pearson","Brbic et al intestine"
0.385279110067217,0.535760727442268,0.44275421565942,0.57455452635922,"pearson","Brbic et al intestine"
0.440173492389767,0.564642477870355,0.493485297790424,0.583138259400227,"pearson","Brbic et al intestine"
0.054791567951961,0.191899995681788,0.322594925151673,0.379132128397627,"euclidean","Brbic et al intestine"
0.0329435632472578,0.155708824201356,0.314796806598529,0.356156826548985,"euclidean","Brbic et al intestine"
0.0513178375425784,0.197812005625136,0.31974536797441,0.381113573184382,"euclidean","Brbic et al intestine"
0.0544274748750698,0.196822816162072,0.313163522082064,0.369035010897511,"euclidean","Brbic et al intestine"
0.0220090769162838,0.127857989551101,0.308003570369292,0.335413863818304,"euclidean","Brbic et al intestine"
0.445789263585237,0.535699910880927,0.536752516643815,0.64155726477338,"pearson","Brbic et al tonsil"
0.45458139503299,0.548395981247867,0.543788227782826,0.635464468023476,"pearson","Brbic et al tonsil"
0.436107736723665,0.523064817766688,0.527876547275236,0.618237251896297,"pearson","Brbic et al tonsil"
0.512904943670235,0.564867260873928,0.594585577149741,0.679861440989054,"pearson","Brbic et al tonsil"
0.452574622827574,0.544717233548463,0.547292505225263,0.650789856096848,"pearson","Brbic et al tonsil"
0.0202211422172481,0.0887574346178334,0.412406375965353,0.443365288757132,"euclidean","Brbic et al tonsil"
0.00297283167193497,0.0702096230247884,0.398420648358496,0.418939185656543,"euclidean","Brbic et al tonsil"
0.0242699088792979,0.0866951643424379,0.420111021265449,0.449844743046466,"euclidean","Brbic et al tonsil"
0.0311880721591297,0.089163842906011,0.425955939769168,0.454842777898458,"euclidean","Brbic et al tonsil"
0.0168515102394241,0.0662799583708196,0.421618210590396,0.461726253180187,"euclidean","Brbic et al tonsil"
